ID,Lat,Long,Altitude,Type,Name,Description,Category,State,County
163,35.13333333333333,-116.26666666666668,1100,L,Cronese,"sandy- bushes- cattle
",Public Airports,California,San Bernardino County
164,35.86666666666667,-116.26666666666668,2000,L,Tecopah,"
",Public Airports,California,Inyo County
165,35.635333333333335,-115.37383333333334,2600,L,Roach,"pwrln ne/sw
",Public Airports,Nevada,Clark County
166,34.5674,-117.09326666666666,3200,L,ReedDrylake,"r/v vehic rough OKEMERGENCY
",Public Airports,California,San Bernardino County
167,34.64416666666666,-117.9475,2560,L,AveM&100,"N/S long/wide wires N end
",Public Airports,California,Los Angeles County
168,34.816,-116.176,1500,L,BroadwellLk,"pwrl running N-S in lakebed
",Public Airports,California,San Bernardino County
169,36.04183333333334,-117.93533333333332,3500,L,Cosolake,"N/S 700x1000D pwlines w  of lk
",Public Airports,California,Inyo County
170,36.73683333333334,-118.14483333333334,3840,L,Manzanar,"NE/SW 6x3A overgrown at places
",Public Airports,California,Inyo County
171,35.358333333333334,-115.9,3000,T,Halloran springs,"
",Public Airports,California,San Bernardino County
172,35.64805,-117.92833333333331,5300,T,Boomer,"
",Public Airports,California,Kern County
173,37.831383333333335,-118.35361666666668,13560,T,Boundary pk,"
",Public Airports,California,Mono County
174,35.221383333333335,-118.24906666666666,6699,T,Cachpeak,"
",Public Airports,California,Kern County
175,36.58166666666666,-118.295,14491,T,Mt.Whitney,"
",Public Airports,California,Tulare County
176,36.26585,-118.11708333333333,11499,T,Olancha Pk,"
",Public Airports,California,Inyo County
177,35.27888333333333,-118.13555,5200,T,Cross Mt,"
",Public Airports,California,Kern County
178,35.74055,-117.99721666666667,7999,T,Owen's Pk,"
",Public Airports,California,Kern County
180,34.804833333333335,-116.562,1750,L,Newberry Springs,"N/S lkbed pwrl S side rd 
",Public Airports,California,San Bernardino County
181,34.686166666666665,-115.67716666666666,2400,L,Kelbaker Rd," road N/S 5x25A slp S traffic
",Public Airports,California,San Bernardino County
182,34.5595,-115.74533333333332,625,L,Amboy,"NW/SE 65x35D good
",Public Airports,California,San Bernardino County
183,34.56583333333333,-115.54316666666666,730,L,Chambless,"E/2W 55x15D berm N side slp W some
",Public Airports,California,San Bernardino County
184,34.77016666666667,-115.2215,1850,L,Essex,"NE/SW 5x15AD S end wider
",Public Airports,California,San Bernardino County
185,34.89833333333333,-115.093,2450,L,Goffs Wspt,"NE/SW 7x15G slp SW curves obstrctions
",Public Airports,California,San Bernardino County
186,35.09166666666667,-115.21866666666666,4100,TA,Conner,"N/S 4x18D slp S bushes sides remote
",Public Airports,California,San Bernardino County
187,35.687666666666665,-116.3005,1522,L,Dumont Dns,"N/S 75x2D rough sandy near rd
",Public Airports,California,San Bernardino County
188,35.895,-114.9235,1700,L,El Dorado lk,"rec vehicles
",Public Airports,Nevada,Clark County
189,35.459833333333336,-115.34866666666667,2616,L,IvanpSouth,"
",Public Airports,California,San Bernardino County
190,35.470166666666664,-117.96233333333332,3165,L,WideSpt,"N/S 75x8D slp N rough emergency only
",Public Airports,California,Kern County
191,34.87566666666667,-115.7265,2611,T,Taylor,"SW/NE road 40'wide only slp SW some
",Public Airports,California,San Bernardino County
192,35.173833333333334,-116.10933333333334,940,L,SodaLk,"
",Public Airports,California,San Bernardino County
193,35.14116666666666,-115.52766666666666,3000,L,Elora wdspt,"NE/SW 6x7G slp SW betw rr&rd
",Public Airports,California,San Bernardino County
194,36.54971666666667,-117.80305,9281,T,Cerro Gordo,"
",Public Airports,California,Inyo County
195,37.97166666666666,-118.31833333333331,7500,T,Mt Montgomery,"
",Public Airports,Nevada,Mineral County
196,35.6025,-117.9025,2800,T,Hyws 178&14,"
",Public Airports,California,Kern County
197,34.13333333333333,-115.55,1815,L,Pot Lake,"N/S N part smoother rough excess
",Public Airports,California,San Bernardino County
198,34.18566666666667,-114.5725,920,L,Vidal JuncW,"Se/NW 55x15G field
",Public Airports,California,San Bernardino County
199,36.340583333333335,-117.40565,1570,L,Panamint DryLk," good both sides of RD
",Public Airports,California,Inyo County
200,35.622683333333335,-118.2585,2950,L,Weldon," slp SE open field
",Public Airports,California,Kern County
201,34.399,-117.7755,0,T,Pinon Ridge,"
",Public Airports,California,Los Angeles County
202,34.93333333333333,-118.0,0,T, 2515,"Joshua 133/65
",Public Airports,California,Kern County
203,35.13133333333333,-116.20883333333332,1460,L,Rasor Rd,"N/S 47x12D slp S wider S end 50'
",Public Airports,California,San Bernardino County
204,32.61,-116.15916666666666,2844,L,Jacumba,"
",Public Airports,California,San Diego County
205,33.949666666666666,-112.9975,2400,L,Forepaugh,"NE/SW 75x6D
",Public Airports,Arizona,Maricopa County
206,35.32366666666667,-117.9635,2084,L,Cantil No," slp S bushes emergency only
",Public Airports,California,Kern County
207,35.856716666666664,-117.98118333333332,5510,T,9mile cny,"
",Public Airports,California,Inyo County
208,35.424216666666666,-118.17508333333332,5845,T,Rock Pile,"
",Public Airports,California,Kern County
209,37.52721666666667,-118.21638333333334,12500,T,ShepMt,"
",Public Airports,California,Mono County
210,35.37278333333333,-117.63388333333332,3514,T,RedMtn,"
",Public Airports,California,Kern County
211,38.60333333333333,-119.305,11680,T,MtPatterson,"
",Public Airports,Nevada,Lyon County
212,38.570283333333336,-118.79083333333334,11319,T,MtGrant,"
",Public Airports,Nevada,Mineral County
213,35.16138333333333,-118.21861666666666,6198,T,MidlKnob,"
",Public Airports,California,Kern County
214,35.212833333333336,-118.01066666666668,2252,L,JohnsPl,"6/24 75x2D soft pwrl S& E sides
",Public Airports,California,Kern County
215,34.48833333333334,-116.91066666666669,2840,L,Stephans," N/S 200x400D field prwln S end
",Public Airports,California,San Bernardino County
216,34.01016666666667,-116.1005,4386,L,Joshua,"E/W 8x100 slp E open pasture
",Public Airports,California,Riverside County
217,34.186,-114.56866666666669,885,L,Vidal Junc East,"N/S 6x15G field
",Public Airports,California,San Bernardino County
218,34.073166666666665,-114.81433333333334,854,L,Old Rice,"100X750concrete pad bushes
",Public Airports,California,Riverside County
219,35.714666666666666,-114.48133333333334,2419,L,Triangle,"5x35D prwln W side
",Public Airports,Arizona,Mohave County
220,36.0205,-114.33516666666668,1549,TA,Temple Bar,"N/S 5x35A slp to N a lot
",Public Airports,Arizona,Mohave County
221,36.311,-114.46383333333333,1535,TA,Echo Bay,"E/W 5x34A slp E lot 
",Public Airports,Nevada,Clark County
222,37.49316666666667,-113.28783333333334,5480,L,Harmony,"N/S 5x35A slp S- E/W 5x1A roads
",Public Airports,Utah,Washington County
223,36.67216666666667,-114.2895,1343,L,Riverside,"NE/SW 5x15A roadsection emergency only
",Public Airports,Nevada,Clark County
224,34.68383333333333,-112.28833333333333,4978,A,Coyote run," wide open grass gliderport winch
",Public Airports,Arizona,Yavapai County
228,37.25108333333333,-113.20851666666668,5105,TA,HurricanMesa,"
",Public Airports,Utah,Washington County
229,34.843333333333334,-114.95416666666668,2080,TA,Camino,"NE/SW 5x2D slp n some- pwrl E end
",Public Airports,California,San Bernardino County
230,35.19976666666667,-114.24691666666666,2720,L,Redwall Dr,"E/W D road 6x25 houses-lnd w of ns paved rd
",Public Airports,Arizona,Mohave County
231,34.55533333333333,-115.35416666666669,1324,TA,Danby,"NE/SW 55x25D slp SW- markers sides
",Public Airports,California,San Bernardino County
233,38.01566666666667,-118.02966666666669,4900,L,Black Hills,"E/W 75x15G slp E_ N/S 3x8Gslp N 
",Public Airports,Nevada,Esmeralda County
234,38.024166666666666,-117.8845,4750,L,Coaldale,"N/S 6x15D slp N berm soft 
",Public Airports,Nevada,Esmeralda County
235,38.3765,-118.1005,4552,TA,Mina,"NW/SE 16x46Dlines east side rnwy
",Public Airports,Nevada,Mineral County
236,38.49816666666667,-118.1615,4440,L,LuningDryLk,"south smoother
",Public Airports,Nevada,Mineral County
237,38.924166666666665,-117.959,4700,TA,GabbsAp,"9/27 8x59D L- NS rnwy not usbl 
",Public Airports,Nevada,Nye County
238,38.74366666666667,-118.04083333333334,4600,L,Gabbs Wdspt,"NE/SW 75x15A slp NE some
",Public Airports,Nevada,Mineral County
239,38.93183333333333,-118.80733333333332,4200,T,Schurz,"N/S 47x2D bushes-bldg N end Emergency
",Public Airports,Nevada,Mineral County
240,39.000166666666665,-118.792,4200,L,Schurz North,"E/W 37x2D raised road emergency only
",Public Airports,Nevada,Mineral County
241,37.18233333333333,-118.2435,3970,L,Zurich,"Ne/SW 5x1A slp to the NE -signs by rd
",Public Airports,California,Inyo County
242,37.02216666666666,-118.00633333333332,11123,T,WaucobaMnt,"
",Public Airports,California,Inyo County
243,37.2695,-118.21783333333332,8500,T,BlackMnt,"
",Public Airports,California,Inyo County
244,34.37416666666667,-117.03366666666666,5400,T,RedStar,"
",Public Airports,California,San Bernardino County
246,35.239583333333336,-112.4823,5232,L,Ash fork,"N/S 5x12D slp N fence both sides
",Public Airports,Arizona,Yavapai County
247,35.525166666666664,-115.57166666666669,7900,T,ClarkMtn,"
",Public Airports,California,San Bernardino County
248,35.3055,-114.88283333333334,2605,L,Kidwell,"15/33 65x4D L 122.9
",Public Airports,Nevada,Clark County
249,39.05983333333333,-117.41966666666669,6520,L,O'Toole,"
",Public Airports,Nevada,Nye County
250,39.35933333333333,-117.44306666666668,6007,L,Fritz'sdrylake,"
",Public Airports,Nevada,Lander County
251,39.28781666666666,-117.49303333333332,6050,L,SmithCreakDryLk,"
",Public Airports,Nevada,Lander County
252,33.93216666666667,-114.0015,1000,L,Bouse,"SE/NW 6x9D
",Public Airports,Arizona,La Paz County
269,36.30665,-114.46536666666668,1535,A,Echo bay,"6/24 5x34A slp E alot 122.8
",Public Airports,Nevada,Clark County
270,33.845166666666664,-112.58866666666668,2065,L,Roesner,"E/W 6x47D
",Public Airports,Arizona,Maricopa County
271,34.6245,-117.5495,2850,L,ElMirageLk,"pwrl E side recvehicles
",Public Airports,California,San Bernardino County
272,33.794,-113.55366666666669,1900,L,Wenden,"N/S 55x26D slp to N
",Public Airports,Arizona,La Paz County
274,36.97691666666667,-118.1217,9180,T,"Mazourka
",,Public Airports,California,Inyo County
275,36.0038,-115.85783333333332,2808,L,Hidden Hills,"2/20 4000x120D good
",Public Airports,Nevada,Nye County
276,36.035833333333336,-115.79983333333334,3067,L,TecopaRd,"Ne/Sw road centerpunch emergency only
",Public Airports,Nevada,Clark County
278,36.63466666666667,-116.41333333333333,2640,L,Jackass,"N/S 2x1G-nw/se 5x1G lights ok
",Public Airports,Nevada,Nye County
279,36.66633333333333,-114.57216666666666,1510,L,Glendale,"NW/SE 15x7G- pwrln n/e end 
",Public Airports,Nevada,Clark County
280,34.93,-116.70716666666668,1778,L,CrystalLake,"SW/NE 15x1G private strip windsock
",Public Airports,California,San Bernardino County
281,36.45583333333333,-114.872,1500,L,Nevada Drylk," look for powerlines
",Public Airports,Nevada,Clark County
282,39.239716666666666,-117.52833333333334,6100,L,PetersensRnch,"Slp to NE some lnd drt rd btwn farms
",Public Airports,Nevada,Lander County
283,34.76428333333333,-117.98748333333332,2350,L,Ave E 80th,"pwrlines both end low berm both sides
",Public Airports,California,Los Angeles County
284,37.63388333333333,-118.25583333333331,14245,T,White Mnt Pk,"
",Public Airports,California,Mono County
285,35.584633333333336,-117.92931666666668,3350,L,Brads,"N/S 6x15- post N end /PWRline E side 1/4m
",Public Airports,California,Kern County
286,38.14438333333333,-117.46086666666666,4826,L,MillersDrylake,"Good
",Public Airports,Nevada,Esmeralda County
287,37.76193333333333,-117.63001666666666,4286,L,Silver Peak,"N/S 75x2000D soft/ prwl W side
",Public Airports,Nevada,Esmeralda County
287,38.3329,-117.032,6020,L,MonitorRd1,"N/E S/W A road- good
",Public Airports,Nevada,Nye County
288,38.26916666666666,-117.06453333333332,5860,L,MonitorRd1/2,"N/S A road /good
",Public Airports,Nevada,Nye County
289,38.5324,-117.19965,5865,L,Peavine Rd,"65x5000D E/W slop to W some/ GOOd
",Public Airports,Nevada,Nye County
290,38.761383333333335,-117.17218333333334,5665,L,Cavers,"60x3000 N/S dirt road
",Public Airports,Nevada,Nye County
291,38.80218333333333,-117.16845,5580,L,Wine Glass,"75x3000D N/S- fence w side
",Public Airports,Nevada,Nye County
292,38.97668333333333,-117.18488333333332,5500,L,Turks,"75x3000D N/S-fence E side
",Public Airports,Nevada,Nye County
293,39.20256666666667,-117.08066666666669,6200,A,Kingston Village,"E/W 8x37G slp toE-N/S 6x30D Good
",Public Airports,Nevada,Lander County
294,39.49545,-116.48905,6320,L,Willow Creek,"700x1500D open grass field
",Public Airports,Nevada,Eureka County
295,39.525666666666666,-116.37068333333332,6100,L,3 Bars Rd,"50xlong dirt road BERM
",Public Airports,Nevada,Eureka County
296,39.275016666666666,-116.66091666666668,6510,L,Belmont Rd,"50xlong G-SW/NE BERM
",Public Airports,Nevada,Lander County
297,39.152166666666666,-116.69338333333332,6760,L,Monitor Ranch,"55x2500D-E/W slopes to East
",Public Airports,Nevada,Nye County
298,39.35071666666666,-116.89633333333332,5680,L,Monitor Wy,"50x2000D-NW/SE-Berm/Pwrln S/e end
",Public Airports,Nevada,Lander County
299,39.53483333333333,-117.13433333333332,5700,L,RaceTrackFarm,"65x1600D-E/W-pwrln E end-overgrown some
",Public Airports,Nevada,Lander County
300,39.68533333333333,-117.07333333333334,6500,L,SilverCreek,"55x1000D-dropoff E end marginal-overgrown
",Public Airports,Nevada,Lander County
301,39.69875,-117.11231666666669,6000,L,SilverCreekRD,"55x3000D road E/W Better than ranch
",Public Airports,Nevada,Lander County
302,39.599783333333335,-117.15255,5800,L,ItalianCny Rd,"50x2000D-E/W road section-low berm
",Public Airports,Nevada,Lander County
303,39.85485,-117.04836666666668,5900,L,Iowa Canyon,"100x3000D N/S owergrown places GOOD
",Public Airports,Nevada,Lander County
304,39.79305,-117.10808333333334,5300,L,Sean's Pasture,"open grass field-fence N end-ruts-cows
",Public Airports,Nevada,Lander County
305,40.04583333333333,-117.19353333333332,4900,L,AntelopeValley,"wide open field E side of HWY-pwrln N side
",Public Airports,Nevada,Lander County
306,39.99783333333333,-117.4055,4940,L,Swansons 3,"50x2500 N/S-pwrln both ends
",Public Airports,Nevada,Lander County
307,40.32495,-117.04955,4970,L,Barium Products,"50x4500D E/W road/weeds/pwrln N side/slp to W
",Public Airports,Nevada,Lander County
308,40.40903333333333,-117.04821666666666,4760,L,PerezRd,"50xlongD E/W road/Berm/pwrln E end near hwy
",Public Airports,Nevada,Lander County
309,40.3921,-117.03861666666668,4800,L,Peter's Spot,"50x1500D E/W slps to W/Berm/roadsigns both ends
",Public Airports,Nevada,Lander County
310,40.27593333333333,-117.08296666666666,4930,L,Property Rd,"50x1500D E/Wroad pwrln W end/weeds/slp to W some
",Public Airports,Nevada,Lander County
311,40.20445,-117.10446666666668,4825,L,Pasture,"longXwide D-land on N side dirt road/pwrln EW ends
",Public Airports,Nevada,Lander County
312,37.6922,-118.94091666666668,7600,L,MammothFlts,"longxwide pasture pwrln rns E-W near hwy 
",Public Airports,California,Mono County
313,37.74698333333333,-118.90313333333332,7155,L,ArculariusRd,"50x1500 D Rd E/W Berm-pwrln So side/Emergency 
",Public Airports,California,Mono County
314,37.87316666666667,-118.8974,7880,L,Sand Flats,"100x4000 N/S grass/soft/fence so end
",Public Airports,California,Mono County
315,34.2861,-118.75943333333332,938,L,H,"
",Public Airports,California,Ventura County
316,38.73075,-119.466,5050,L,Topaz,"N/S 75x2500-E/W 50x1500 D Good
",Public Airports,Nevada,Douglas County
